species,tree,branch,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,no_twigs,no_spurs,no_scars,stem_m,tot_stem_mO,tot_stem_m,twig_m,leaf_m,flower_m,length_ratio,diameter_ratio,mass_ratio
apple,13,27,,26,2,300,,30,101,38.5,,15,5,15,681.2,,681.2,,,,2.525,0.732,1.088
apple,14,1,,0,1,0,,90,73,194.5,,0,2,10,14532,,276108,0.6,,,NA,NA,NA
apple,14,2,,1,2,30,,20,53,82.5,,5,2,14,2366.4,,7099.2,117.3,,,0.726,0.424,0.163
apple,14,3,,2,3,340,,-10,7.5,37.5,,3,0,3,79.5,,79.5,270.4,,,0.142,0.455,0.034
apple,14,4,,2,2,10,,45,61,72.5,,11,8,23,2029.9,,4059.8,,,,1.151,0.879,0.858
apple,14,5,,4,3,90,,-5,133,32.4,,19,3,13,693,,693,,,,2.18,0.447,0.341
apple,14,6,,4,2,0,,55,32,73.2,,4,1,18,781.7,,781.7,,,,0.525,1.01,0.385
apple,14,7,,6,2,10,,35,74,56.2,,9,12,13,1071.3,,1071.3,,,,2.312,0.768,1.37
apple,14,8,,1,2,120,,30,89,86.5,,13,5,42,3428.7,,10286.1,,,,1.219,0.445,0.236
apple,14,9,,8,3,170,,25,50.5,22.3,,6,1,9,129.2,,129.2,189.6,,,0.567,0.258,0.038
apple,14,10,,8,2,90,,5,49.5,73.1,,2,3,11,1530.1,,3060.2,233.1,,,0.556,0.845,0.446
apple,14,11,,10,3,30,,20,101,24.2,,9,8,12,329.7,,329.7,,,,2.04,0.331,0.215
apple,14,12,,10,2,110,,35,90,59.2,,11,3,24,1540.9,,1540.9,,,,1.818,0.81,1.007
apple,14,13,,12,2,90,,30,88.5,38.3,,17,3,6,617.7,,617.7,760.4,,,0.983,0.647,0.401
apple,14,14,,1,2,170,,0,56,65.4,,6,5,14,1172.6,,2345.2,102.3,,,0.767,0.336,0.081
apple,14,15,,14,3,140,,-10,61,24.5,,7,3,12,229,,229,359.6,,,1.089,0.375,0.195
apple,14,16,,14,2,210,,25,36,69.9,,4,5,7,714.8,,714.8,518.1,,,0.643,1.069,0.61
apple,14,17,,16,2,170,,15,155,39,,22,7,16,1145.2,,1145.2,716.6,,,4.306,0.558,1.602
apple,14,18,,1,2,250,,5,130,69.7,,17,3,35,2787.7,,2787.7,1331.3,,,1.781,0.358,0.192
